Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Zion Williamson,willizi01,29.566666666666666,7,9,.778,0,0,,1,4,.250,4,6,10,3,1,1,6,3,15,6
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Lonzo Ball,balllo01,28.8,4,9,.444,4,8,.500,4,6,.667,1,4,5,2,1,2,5,3,16,16
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,JJ Redick,redicjj01,28.866666666666667,8,14,.571,6,11,.545,1,1,1.000,0,3,3,1,0,0,1,4,23,10
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Josh Hart,hartjo01,26.683333333333334,2,5,.400,1,4,.250,1,3,.333,1,4,5,1,2,0,2,2,6,8
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,NicolÃ² Melli,mellini01,13.516666666666667,0,4,.000,0,3,.000,0,0,,0,2,2,2,1,0,1,0,0,-6
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Jaxson Hayes,hayesja02,6.283333333333333,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,1
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Nickeil Alexander-Walker,alexani01,3.8833333333333333,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,0,3,-2
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Pascal Siakam,siakapa01,38.68333333333333,8,17,.471,3,7,.429,1,2,.500,0,6,6,6,0,0,4,1,20,-15
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Kyle Lowry,lowryky01,38.56666666666667,7,15,.467,4,9,.444,0,0,,1,0,1,10,1,0,6,3,18,-1
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,OG Anunoby,anunoog01,36.21666666666667,4,10,.400,0,5,.000,0,0,,2,6,8,2,3,2,4,4,8,-14
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Fred VanVleet,vanvlfr01,29.6,3,12,.250,2,8,.250,1,2,.500,1,2,3,3,3,0,1,4,9,-18
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Aron Baynes,baynear01,28.1,5,9,.556,1,4,.250,0,0,,1,8,9,0,0,0,1,2,11,-17
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Norman Powell,powelno01,23.15,2,11,.182,1,6,.167,7,8,.875,0,1,1,1,1,0,0,4,12,-13
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Matt Thomas,thomama02,20.283333333333335,3,6,.500,3,5,.600,0,0,,0,2,2,4,2,0,0,2,9,-1
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Chris Boucher,bouchch01,14.783333333333333,6,8,.750,0,1,.000,0,0,,2,3,5,0,0,2,2,2,12,2
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,DeAndre' Bembry,bembrde01,5.5,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,4
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Terence Davis,daviste02,2.5833333333333335,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Malachi Flynn,flynnma01,1.2666666666666666,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,2
