Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Joel Embiid,embiijo01,35.916666666666664,15,24,.625,2,3,.667,10,10,1.000,2,9,11,5,1,1,4,5,42,10
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Tobias Harris,harrito02,31.483333333333334,2,5,.400,0,1,.000,1,2,.500,0,6,6,1,1,0,0,2,5,-1
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,De'Anthony Melton,meltode01,30.6,3,6,.500,3,5,.600,2,2,1.000,2,2,4,2,1,1,0,1,11,0
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,P.J. Tucker,tuckepj01,18.1,1,1,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,0,4,3,2
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Tyrese Maxey,maxeyty01,26.716666666666665,5,14,.357,1,5,.200,1,2,.500,0,1,1,2,0,0,3,2,12,2
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Georges Niang,niangge01,26.55,5,9,.556,5,9,.556,0,0,,2,3,5,4,1,1,0,3,15,7
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Shake Milton,miltosh01,12.183333333333334,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,4
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Montrezl Harrell,harremo01,12.066666666666666,1,4,.250,0,0,,1,2,.500,0,1,1,2,2,1,1,2,3,-1
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Matisse Thybulle,thybuma01,8.016666666666667,1,2,.500,0,1,.000,0,0,,1,0,1,0,1,1,0,0,2,12
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Devin Vassell,vassede01,25.816666666666666,5,13,.385,3,7,.429,1,2,.500,0,2,2,3,0,0,1,0,14,-28
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Keldon Johnson,johnske04,24.9,7,13,.538,2,6,.333,6,7,.857,0,4,4,1,0,1,3,2,22,-21
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Tre Jones,jonestr01,22.833333333333332,3,8,.375,0,3,.000,0,0,,0,1,1,7,2,0,1,0,6,-20
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Jeremy Sochan,sochaje01,21.65,2,4,.500,0,1,.000,1,1,1.000,1,2,3,1,1,0,3,3,5,-13
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Jakob Poeltl,poeltja01,19.7,3,8,.375,0,0,,0,1,.000,6,5,11,2,1,1,2,0,6,-16
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Malaki Branham,branhma01,25.65,4,10,.400,1,4,.250,0,0,,0,2,2,3,0,0,3,1,9,-21
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Josh Richardson,richajo01,21.616666666666667,5,9,.556,1,2,.500,0,0,,2,2,4,3,0,0,0,2,11,-10
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Zach Collins,colliza01,18.616666666666667,4,10,.400,0,1,.000,2,3,.667,1,1,2,0,0,1,1,1,10,-13
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Romeo Langford,langfro01,16.766666666666666,4,8,.500,0,0,,0,0,,2,1,3,0,1,0,1,0,8,-7
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Isaiah Roby,robyis01,14.75,2,5,.400,0,2,.000,1,4,.250,1,3,4,0,0,0,1,2,5,-6
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Gorgui Dieng,dienggo01,9.683333333333334,2,4,.500,1,2,.500,0,0,,2,1,3,4,0,1,0,1,5,-7
